Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Day,Weekday,Quarter
2022-01-01,0,0,3,1,231,127,55,135.47,33.5,20,1,0,29.69,0,2022,1,1,5,1
2022-01-01,0,1,4,2,204,150,66,144.04,63.01,20,3,0,66.16,0,2022,1,1,5,1
2022-01-01,0,2,4,3,102,65,51,74.02,27.99,10,3,1,31.32,2,2022,1,1,5,1
2022-01-01,0,3,4,1,469,61,164,62.18,32.72,10,0,1,34.74,0,2022,1,1,5,1
2022-01-01,0,4,1,0,166,14,135,9.26,73.64,0,3,0,68.95,2,2022,1,1,5,1
2022-01-01,0,5,3,2,138,128,102,139.82,76.83,10,3,1,79.35,3,2022,1,1,5,1
2022-01-01,0,6,2,0,359,97,167,108.92,34.16,10,1,1,36.55,3,2022,1,1,5,1
2022-01-01,0,7,0,1,380,312,54,329.73,97.99,5,0,0,100.09,1,2022,1,1,5,1
2022-01-01,0,8,1,3,183,175,135,174.15,20.74,10,0,0,17.66,0,2022,1,1,5,1
2022-01-01,0,9,4,2,108,28,196,24.47,59.99,0,1,1,61.21,3,2022,1,1,5,1
2022-01-01,0,10,2,2,258,150,153,152.74,58.53,10,3,1,61.42,1,2022,1,1,5,1
2022-01-01,0,11,0,3,66,24,70,26.75,58.25,20,2,0,62.21,1,2022,1,1,5,1
2022-01-01,0,12,4,2,96,42,85,41.46,43.6,0,0,0,46.31,1,2022,1,1,5,1
2022-01-01,0,13,0,3,193,12,187,6.8,78.11,0,3,0,80.06,1,2022,1,1,5,1
2022-01-01,0,14,0,1,379,369,154,363.46,92.99,15,2,0,95.8,3,2022,1,1,5,1
2022-01-01,0,15,1,1,363,255,69,255.74,21.9,5,0,1,20.27,0,2022,1,1,5,1
2022-01-01,0,16,4,3,318,246,177,255.37,21.07,20,3,0,16.49,3,2022,1,1,5,1
2022-01-01,0,17,0,2,241,151,47,147.27,19.57,5,0,0,23.13,0,2022,1,1,5,1
2022-01-01,0,18,0,0,352,257,186,267.38,73.28,10,0,0,77.26,3,2022,1,1,5,1
2022-01-01,0,19,4,0,274,99,166,115.23,30.24,5,0,0,27.1,1,2022,1,1,5,1
2022-01-01,1,0,3,2,343,104,144,112.55,32.8,20,3,1,30.78,1,2022,1,1,5,1
2022-01-01,1,1,0,3,373,141,151,135.62,46.16,10,1,1,45.21,3,2022,1,1,5,1
2022-01-01,1,2,2,0,445,182,119,176.31,20.46,20,2,1,22.0,1,2022,1,1,5,1
2022-01-01,1,3,4,3,191,63,115,54.57,26.19,0,0,0,28.06,0,2022,1,1,5,1
2022-01-01,1,4,4,3,281,156,25,150.9,83.29,20,1,0,80.64,0,2022,1,1,5,1
2022-01-01,1,5,2,1,492,250,168,242.57,85.59,20,0,0,86.82,3,2022,1,1,5,1
2022-01-01,1,6,3,3,460,393,70,401.48,91.13,5,3,0,93.33,2,2022,1,1,5,1
2022-01-01,1,7,1,3,304,29,99,35.54,66.96,20,2,0,65.36,2,2022,1,1,5,1
2022-01-01,1,8,0,2,113,9,84,14.78,81.29,5,1,1,82.06,3,2022,1,1,5,1
2022-01-01,1,9,1,1,157,126,181,132.75,60.84,0,2,1,65.22,3,2022,1,1,5,1
2022-01-01,1,10,3,3,67,13,33,7.44,34.62,0,2,1,33.98,0,2022,1,1,5,1
2022-01-01,1,11,3,0,281,25,136,37.27,19.56,5,1,1,19.01,3,2022,1,1,5,1
2022-01-01,1,12,0,0,389,283,177,299.7,57.78,20,0,0,58.5,1,2022,1,1,5,1
2022-01-01,1,13,1,0,465,359,77,370.36,91.28,20,0,0,90.85,2,2022,1,1,5,1
2022-01-01,1,14,4,2,197,129,94,148.55,59.9,15,3,1,55.23,3,2022,1,1,5,1
2022-01-01,1,15,4,2,242,63,85,58.07,45.65,20,1,1,42.17,1,2022,1,1,5,1
2022-01-01,1,16,3,3,398,373,92,390.89,11.71,20,0,1,10.0,3,2022,1,1,5,1
2022-01-01,1,17,3,1,234,160,140,177.41,58.84,5,0,0,54.39,2,2022,1,1,5,1
2022-01-01,1,18,4,0,67,15,186,34.38,84.99,5,3,1,81.02,3,2022,1,1,5,1
2022-01-01,1,19,4,3,221,101,38,115.0,87.1,0,1,1,91.56,1,2022,1,1,5,1
2022-01-01,2,0,4,2,241,147,180,161.09,67.21,5,3,1,67.39,2,2022,1,1,5,1
2022-01-01,2,1,1,3,115,4,169,11.11,28.2,10,3,1,25.63,1,2022,1,1,5,1
2022-01-01,2,2,3,2,375,77,145,75.04,56.16,10,3,1,57.16,1,2022,1,1,5,1
2022-01-01,2,3,4,2,153,31,145,42.99,89.53,20,1,1,93.6,3,2022,1,1,5,1
2022-01-01,2,4,0,3,438,325,20,330.92,97.95,20,3,0,93.54,3,2022,1,1,5,1
2022-01-01,2,5,3,1,456,163,22,159.17,76.37,5,1,1,71.38,2,2022,1,1,5,1
2022-01-01,2,6,1,1,189,34,107,26.91,86.99,15,1,1,90.5,2,2022,1,1,5,1
2022-01-01,2,7,4,1,223,47,107,45.48,66.53,15,0,1,70.46,1,2022,1,1,5,1
2022-01-01,2,8,3,2,381,15,184,30.05,74.86,15,2,1,73.93,3,2022,1,1,5,1
2022-01-01,2,9,3,2,166,126,124,141.34,97.09,5,1,1,95.8,2,2022,1,1,5,1
2022-01-01,2,10,4,0,292,232,155,242.02,56.19,0,2,1,57.85,3,2022,1,1,5,1
2022-01-01,2,11,1,1,311,175,55,176.75,90.38,20,0,0,89.52,2,2022,1,1,5,1
2022-01-01,2,12,2,1,51,17,172,12.86,73.98,20,0,1,76.65,2,2022,1,1,5,1
